#;PSRJ;RAJ;DECJ;P0;P1;BINARY;PSR;NGLT;
;;(hms);(dms);(s);;(type);TYPE;;
2528;J1901+0511;19:01:42.9;+05:11:00.2;4.600369;2.53e-14;*;*;*;
2529;J1901+0621;19:01:05.9;+06:21:19;0.832002;1.80e-17;*;*;*;
2530;J1901+0659g;19:01:25;+06:59;0.075730;*;*;*;*;
2531;J1901+0712g;19:01:30;+07:12;1.037710;*;*;*;*;
2532;J1901+0716;19:01:38.9;+07:16:34.8;0.643999;2.29e-15;*;*;1;
2533;J1901-0906;19:01:53.0;-09:06:11.1;1.781928;1.64e-15;*;*;*;
2534;J1901+1306;19:01:48.7;+13:06:48.3;1.830857;1.31e-16;*;*;*;
2535;J1901-1740;19:01:18.0;-17:40:00;1.956858;8.23e-16;*;*;*;
2536;J1902+0235;19:02:31.0;+02:35:14.7;0.415394;9.48e-17;*;*;*;
2537;J1902+0248;19:02:50.2;+02:48:56;1.223777;2.41e-15;*;*;*;
2538;J1902-0340;19:02:50.7;-03:40:18;1.524672;2.00e-15;*;*;*;
2539;J1902+0556;19:02:42.6;+05:56:25.9;0.746577;1.29e-14;*;*;*;
2540;J1902+0615;19:02:50.2;+06:16:33.4;0.673505;7.71e-15;*;*;6;
2541;J1902+0723;19:02:13.5;+07:23:51;0.487813;2.10e-16;*;*;*;
2542;J1902+0809g;19:02:20;+08:09;0.190230;*;*;*;*;
2543;J1902-1036;19:02:42.3;-10:36:13.0;0.786814;7.54e-15;*;*;*;
2544;J1902+1141;19:02:02.2;+11:41:05.5;0.409140;2.59e-15;*;*;*;
2545;J1902-5105;19:02:02.8;-51:05:56.9;0.001742;9.20e-21;ELL1;HE;*;
2546;J1903+0135;19:03:29.9;+01:35:38.5;0.729307;4.03e-15;*;*;*;
2547;J1903-0258;19:03:30.3;-02:58:15.6;0.301459;6.79e-16;*;*;*;
2548;J1903+0327;19:03:05.7;+03:27:19.2;0.002150;1.88e-20;DD;*;*;
2549;J1903+0415;19:03:28.3;+04:15:07.6;1.151399;2.27e-16;*;*;*;
2550;J1903+0433g;19:03:19;+04:33;14.049900;*;*;*;*;
2551;J1903+0534g;19:03:29;+05:34;0.357650;*;*;*;*;
2552;J1903+0601;19:03:20.8;+06:01:34.0;0.374117;1.92e-14;*;*;*;
2553;J1903-0632;19:03:37.9;-06:32:21.5;0.431889;3.38e-15;*;*;*;
2554;J1903+0654;19:03:55.2;+06:54:39.4;0.791232;1.06e-14;*;*;*;
2555;J1903+0839g;19:03:52;+08:39;0.004620;*;*;*;*;
2556;J1903+0845g;19:03:36;+08:45;0.153140;*;*;*;*;
2557;J1903-0848;19:03:11.2;-08:48:57.4;0.887325;1.33e-15;*;*;*;
2558;J1903+0851g;19:03:04;+08:51;1.231970;*;*;*;*;
2559;J1903+0912;19:03:42.1;+09:12:41.6;0.166314;1.48e-14;*;*;*;
2560;J1903+0925;19:03:55.1;+09:25:55;0.357155;3.69e-14;*;*;*;
2561;J1903+2225;19:03:52.9;+22:25:12.3;0.651185;4.45e-16;*;*;*;
2562;J1903-7051;19:03:38.7;-70:51:43.4;0.003598;1.04e-20;ELL1;HE[ckr+15];*;
2563;J1904+0004;19:04:12.7;+00:04:05.2;0.139525;1.18e-16;*;*;*;
2564;J1904+0056;19:04:07.0;+00:56:59;0.438089;4.00e-18;*;*;*;
2565;J1904-0150;19:04:55.5;-01:50:32.5;0.379387;8.90e-16;*;*;*;
2566;J1904+0207g;19:04:44;+02:07;0.005040;*;*;*;*;
2567;J1904+0358g;19:04:22;+03:58;0.751540;*;*;*;*;
2568;J1904+0412;19:04:31.3;+04:12:05.9;0.071095;1.10e-19;BT;*;*;
2569;J1904+0415g;19:04:06;+04:15;0.231450;*;*;*;*;
2570;J1904+0451;19:04:59.3;+04:51:54.9;0.006092;5.72e-21;*;*;*;
2571;J1904+0519g;19:04:08;+05:19;1.680530;*;*;*;*;
2572;J1904+0535g;19:04:52;+05:35;0.603760;*;*;*;*;
2573;J1904+0553g;19:04:17;+05:53;0.004910;*;*;*;*;
2574;J1904+0603g;19:04:52;+06:03;1.974930;*;*;*;*;
2575;J1904+0738;19:04:07.5;+07:38:51.6;0.208958;4.11e-16;*;*;*;
2576;J1904+0800;19:04:03.5;+08:00:52.6;0.263345;1.73e-14;*;*;*;
2577;J1904+0823g;19:04:44;+08:23;1.507730;*;*;*;*;
2578;J1904+0836g;19:04:35;+08:36;0.004440;*;*;*;*;
2579;J1904+0852g;19:04:55;+08:52;0.006190;*;*;*;*;
2580;J1904+1011;19:04:02.4;+10:11:34.6;1.856570;2.76e-16;*;*;*;
2581;J1904-11;19:04:34;-11:30:34;0.002620;*;*;HE[trr+21,aab+22];*;
2582;J1904-1224;19:04:33.2;-12:24:01.3;0.750808;7.42e-16;*;*;*;
2583;J1904-1629;19:04:51.3;-16:29:19;1.541412;3.19e-15;*;*;*;
2584;J1904+33;19:04;+33;0.417000;*;*;*;*;
2585;J1905-0056;19:05:27.7;-00:56:40.8;0.643183;3.06e-15;*;*;*;
2586;J1905+0154A;19:05:15.4;+01:54:33;0.003193;*;ELL1;*;*;
2587;J1905+0400;19:05:28.2;+04:00:10.8;0.003784;4.91e-21;*;*;*;
2588;J1905+0414;19:05;+04:14;*;*;*;RRAT[pab+18];*;
2589;J1905+0450g;19:05:59;+04:50;0.783300;*;*;*;*;
2590;J1905+0600;19:05:04.3;+06:00:59.9;0.441210;1.11e-15;*;*;*;
2591;J1905+0616;19:05:06.8;+06:16:16.7;0.989706;1.35e-13;*;*;*;
2592;J1905+0656g;19:05:45;+06:56;2.511650;*;*;*;*;
2593;J1905+0709;19:05:53.6;+07:09:19.4;0.648040;4.94e-15;*;*;*;
2594;J1905+0758g;19:05:48;+07:58;1.192760;*;*;*;*;
2595;J1905+0902;19:05:19.5;+09:02:32.4;0.218253;3.50e-15;*;*;*;
2596;J1905+0920g;19:05:09;+09:20;0.170470;*;*;*;*;
2597;J1905+0936g;19:05:25;+09:36;1.634510;*;*;*;*;
2598;J1905+1034;19:05:20.6;+10:34:27.7;1.726810;2.07e-14;*;*;*;
2599;J1906+0055;19:06:48.6;+00:55:07.8;0.002790;3.32e-21;ELL1;*;*;
2600;J1906+0414;19:06:57.7;+04:14:29.4;1.043362;1.15e-14;*;*;*;
2601;J1906+0454;19:06:47.1;+04:54:09.0;0.002083;2.98e-21;ELL1;*;*;
2602;J1906+0509;19:06:56.4;+05:09:35.6;0.397590;5.22e-15;*;*;*;
2603;J1906+0641;19:06:35.2;+06:41:02.9;0.267275;2.14e-15;*;*;*;
2604;J1906+0646g;19:06:15;+06:46;0.355520;*;*;*;*;
2605;J1906+0649;19:06:11.9;+06:49:48.1;1.286564;1.52e-16;*;*;*;
2606;J1906+0722;19:06:31.2;+07:22:55.8;0.111524;3.59e-14;*;NRAD;1;
2607;J1906+0724;19:06:22.5;+07:24:22.8;1.536490;3.00e-15;*;*;*;
2608;J1906+0746;19:06:48.8;+07:46:25.9;0.144073;2.03e-14;DD;*;*;
2609;J1906+0757g;19:06:40;+07:57;0.057190;*;*;*;*;
2610;J1906+0822g;19:06:38;+08:22;0.433440;*;*;*;*;
2611;J1906+0912;19:06:28.4;+09:12:56.6;0.775345;1.32e-16;*;*;*;
2612;J1906+1854;19:06:44.7;+18:54:08.5;1.019093;2.05e-16;*;*;*;
2613;J1907+0249;19:07:42.0;+02:49:41;0.351879;1.14e-15;*;*;*;
2614;J1907+0255;19:07:17.9;+02:55:02.7;0.618761;2.23e-16;*;*;*;
2615;J1907+0345;19:07:14.5;+03:45:10.6;0.240153;8.22e-15;*;*;*;
2616;J1907+0534;19:07:23.3;+05:34:53;1.138403;3.15e-15;*;*;*;
2617;J1907+0602;19:07:54.7;+06:02:16.9;0.106633;8.68e-14;*;HE;*;
2618;J1907+0631;19:07:03.8;+06:31:18.9;0.323648;4.52e-13;*;*;2;
2619;J1907+0658g;19:07:34;+06:58;0.218340;*;*;*;*;
2620;J1907+0709g;19:07:57;+07:09;0.344100;*;*;*;*;
2621;J1907+0731;19:07:54.7;+07:31:21.9;0.363676;1.84e-14;*;*;*;
2622;J1907+0740;19:07:44.1;+07:40:22.6;0.574698;6.71e-16;*;*;*;
2623;J1907+0833;19:07:57.0;+08:33:59.9;0.167628;3.70e-15;*;*;*;
2624;J1907+0859;19:07:01.9;+08:59:43.8;1.527042;5.54e-15;*;*;*;
2625;J1907+0918;19:07:22.4;+09:18:30.7;0.226107;9.43e-14;*;*;*;
2626;J1907+0919;19:07:14.3;+09:19:20.1;5.198346;9.20e-11;*;AXP,NRAD;*;
2627;J1907+1149;19:07:37.7;+11:49:37.1;1.420160;1.60e-13;*;*;*;
2628;J1907+1247;19:07:10.7;+12:47:35.9;0.827097;1.95e-15;*;*;*;
2629;J1907-1532;19:07:06.7;-15:32:14.9;0.632235;3.08e-15;*;*;*;
2630;J1907+4002;19:07:34.6;+40:02:05.7;1.235757;5.41e-16;*;*;*;
2631;J1907+57;19:07;+57;0.424000;*;*;*;*;
2632;J1908+0128;19:08:18.8;+01:28:22.7;0.004702;5.27e-20;ELL1;*;*;
2633;J1908+0457;19:08:16.1;+04:57:41;0.846793;9.80e-16;*;*;*;
2634;J1908+0500;19:08:05.1;+05:00:54.4;0.291021;2.59e-15;*;*;*;
2635;J1908+0558;19:08:01.9;+05:58:33.9;0.168678;2.28e-15;*;*;*;
2636;J1908+0734;19:08:17.0;+07:34:14.3;0.212353;8.25e-16;*;*;*;
2637;J1908+0811g;19:08:44;+08:11;0.181640;*;*;*;*;
2638;J1908+0833;19:08:20.9;+08:33:31.5;0.512111;1.99e-15;*;*;*;
2639;J1908+0839;19:08:18.5;+08:39:59.2;0.185397;2.39e-15;*;*;*;
2640;J1908+0909;19:08:07.4;+09:09:12.4;0.336555;3.49e-14;*;*;*;
2641;J1908+0916;19:08:58.7;+09:16:14;0.830270;9.80e-17;*;*;*;
2642;J1908+0949g;19:08:08;+09:49;0.009050;*;*;*;*;
2643;J1908+1035g;19:08:23;+10:35;0.010690;*;*;*;*;
2644;J1908+1351;19:08:35.3;+13:51:40;3.174832;3.70e-15;*;*;*;
2645;J1908+2105;19:08:57.2;+21:05:02.7;0.002564;1.38e-20;ELL1;HE[drc+21];*;
2646;J1908+2351;19:08:31.9;+23:51:41.9;0.377578;1.70e-17;*;*;*;
2647;J1909+0007;19:09:35.2;+00:07:57.7;1.016948;5.52e-15;*;*;3;
2648;J1909+0254;19:09:38.3;+02:54:50.6;0.989831;5.53e-15;*;*;*;
2649;J1909+0616;19:09:51.2;+06:16:51.8;0.755993;2.06e-14;*;*;*;
2650;J1909+0641;19:09:29.0;+06:41:25.8;0.741762;3.22e-15;*;RRAT;*;
2651;J1909+0657g;19:09:14;+06:57;1.245890;*;*;*;*;
2652;J1909+0749;19:09:08.2;+07:49:32;0.237161;1.52e-13;*;*;1;
2653;J1909+0905g;19:09:39;+09:05;1.494880;*;*;*;*;
2654;J1909+0912;19:09:19.9;+09:12:53.7;0.222949;3.58e-14;*;*;2;
2655;J1909+0930g;19:09:47;+09:30;2.020780;*;*;*;*;
2656;J1909+1102;19:09:48.6;+11:02:03.0;0.283642;2.64e-15;*;*;2;
2657;J1909+1132g;19:09:37;+11:32;0.006800;*;*;*;*;
2658;J1909+1148;19:09:31.3;+11:48:59.8;0.448945;7.25e-17;*;*;*;
2659;J1909+1205;19:09:51.4;+12:05:47;1.229312;3.40e-15;*;*;*;
2660;J1909+1450;19:09:26.9;+14:50:58;0.996108;2.19e-16;*;*;*;
2661;J1909+1859;19:09:18.6;+18:59:10.7;0.542451;9.70e-17;*;*;*;
2662;J1909-3744;19:09:47.4;-37:44:14.5;0.002947;1.40e-20;T2;*;*;
2663;J1910-0112;19:10:15.7;-01:12:06;1.360603;1.78e-16;*;*;*;
2664;J1910+0225;19:10:10.3;+02:25:23.6;0.337855;2.62e-16;*;*;*;
2665;J1910-0309;19:10:29.6;-03:09:54.1;0.504606;2.19e-15;*;*;3;
2666;J1910+0358;19:10:09.0;+03:58:28.0;2.330263;4.47e-15;*;*;1;
2667;J1910+0435;19:10:11.0;+04:35:29.5;0.664679;1.72e-14;*;*;*;
2668;J1910+0517;19:10:37.9;+5:17:56.1;0.308048;7.30e-16;*;*;*;
2669;J1910+0534;19:10:26.5;+05:34:09;0.452867;1.92e-15;*;*;*;
2670;J1910-0556;19:10:16.5;-05:56:29.9;0.557609;5.96e-16;*;*;*;
2671;J1910+0710;19:10:13.8;+07:10:46.4;0.538647;2.05e-16;*;*;*;
2672;J1910+0714;19:10:18.5;+07:14:11.8;2.712423;6.12e-15;*;*;*;
2673;J1910+0728;19:10:22.0;+07:28:37.0;0.325415;8.31e-15;*;*;*;
2674;J1910+1017;19:10:26.1;+10:17:54.0;0.411159;5.42e-15;*;*;*;
2675;J1910+1026;19:10:48.7;+10:26:52.5;0.531493;2.57e-13;*;*;1;
2676;J1910+1054g;19:10:01;+10:54;0.003870;*;*;*;*;
2677;J1910+1117g;19:10:27;+11:17;1.321520;*;*;*;*;
2678;J1910+1231;19:10:13.5;+12:31:40.2;1.441742;8.23e-15;*;*;*;
2679;J1910+1256;19:10:09.7;+12:56:25.4;0.004984;9.68e-21;DD;*;*;
2680;J1910+56;19:10:42;+56:55;0.341900;*;*;*;*;
2681;J1910-5959A;19:11:42.7;-59:58:26.9;0.003266;2.95e-21;DD;*;*;
2682;J1910-5959B;19:10:52.0;-59:59:00.8;0.008358;-7.90e-19;*;*;*;
2683;J1910-5959C;19:11:05.5;-60:00:59.7;0.005277;2.16e-21;*;*;*;
2684;J1910-5959D;19:10:52.4;-59:59:05.4;0.009035;9.64e-19;*;*;*;
2685;J1910-5959E;19:10:52.1;-59:59:02.0;0.004572;-4.34e-19;*;*;*;
2686;J1910-5959F;19:10:52.0;-59:59:09.3;0.008485;7.41e-19;*;*;*;
2687;J1911+00;19:11:48;+00:37;6.940000;*;*;RRAT;*;
2688;J1911+0101A;19:11:11.0;+01:02:09.7;0.003619;-6.58e-21;ELL1;*;*;
2689;J1911+0101B;19:11:12.5;+01:01:50.4;0.005384;-2.00e-21;*;*;*;
2690;J1911+0751g;19:11:43;+07:51;0.796910;*;*;*;*;
2691;J1911+0921;19:11:46.4;+09:21:56.8;0.273707;1.75e-17;*;*;*;
2692;J1911+0925;19:11:59.4;+09:25:32.2;0.323858;3.55e-15;*;*;*;
2693;J1911+0939g;19:11:38;+09:39;0.365470;*;*;*;*;
2694;J1911+1051;19:11:42.2;+10:51:26.7;0.190873;1.22e-14;*;*;*;
2695;J1911-1114;19:11:49.2;-11:14:22.4;0.003626;1.39e-20;ELL1;*;*;
2696;J1911+1252g;19:11:28;+12:52;0.027240;*;*;*;*;
2697;J1911+1301;19:11:31.7;+13:01:26.6;1.010462;1.89e-15;*;*;*;
2698;J1911+1336;19:11:59.5;+13:36:55.0;0.299992;1.59e-16;*;*;*;
2699;J1911+1347;19:11:55.2;+13:47:34.3;0.004626;1.69e-20;*;*;*;
2700;J1911+1758;19:11:55.3;+17:58:45.7;0.460406;1.31e-17;*;*;*;
2701;J1912+0934g;19:12:41;+09:34;0.897470;*;*;*;*;
2702;J1912-0952;19:12:12.2;-09:52:51.7;0.025068;2.86e-20;ELL1;*;*;
2703;J1912+1036;19:12:46.3;+10:36:41.6;0.409349;1.58e-14;*;*;*;
2704;J1912+1105g;19:12:26;+11:05;0.670710;*;*;*;*;
2705;J1912+1417g;19:12:32;+14:17;0.003170;*;*;*;*;
2706;J1912+2104;19:12:43.3;+21:04:33.9;2.232969;1.02e-14;*;*;*;
2707;J1912+2525;19:12:18.6;+25:25:02.1;0.621976;2.25e-16;*;*;*;
2708;J1913-0440;19:13:54.1;-04:40:47.6;0.825936;4.07e-15;*;*;*;
2709;J1913+0446;19:13:50.8;+04:46:06;1.616130;2.79e-13;*;*;3;
2710;J1913+0523;19:13:22.7;+05:23:58.8;0.661997;1.80e-15;*;*;*;
2711;J1913+0618;19:13:17.8;+06:18:08.2;0.005027;9.61e-21;DD;*;*;
2712;J1913+0657;19:13:32.9;+06:57:24.3;1.257181;2.83e-15;*;*;*;
2713;J1913+0832;19:13:00.5;+08:32:05.1;0.134409;4.57e-15;*;*;1;
2714;J1913+0904;19:13:21.0;+09:04:45.4;0.163246;1.76e-14;*;HE;1;
2715;J1913+0936;19:13:52.7;+09:36:41.8;1.241965;4.32e-16;*;*;*;
2716;J1913+1000;19:13:03.5;+10:00:02.4;0.837148;1.67e-14;*;*;1;
2717;J1913+1011;19:13:20.3;+10:11:22.9;0.035909;3.37e-15;*;HE[sbc+19];1;
2718;J1913+1037g;19:13:53;+10:37;0.434210;*;*;*;*;
2719;J1913+1050;19:13:35.3;+10:50:26.6;0.190067;1.95e-16;*;*;*;
2720;J1913+1054g;19:13:07;+10:54;0.450620;*;*;*;*;
2721;J1913+1102;19:13:29.0;+11:02:05.7;0.027285;1.61e-19;DD;*;*;
2722;J1913+11025;19:13:42.7;+11:02:58.8;0.923872;3.40e-16;*;*;*;
2723;J1913+1145;19:13:43.8;+11:45:33.1;0.306069;5.02e-15;*;*;*;
2724;J1913+1330;19:13:17.9;+13:30:32.7;0.923391;8.68e-15;*;RRAT;*;
2725;J1913+1400;19:13:24.3;+14:00:52.5;0.521473;8.04e-16;*;*;*;
2726;J1913+3732;19:13:27.8;+37:32:12.3;0.851079;1.38e-15;*;*;*;
2727;J1914+0219;19:14:23.7;+02:19:47.8;0.457527;1.02e-15;*;*;*;
2728;J1914+0625;19:14:08.3;+06:25:00.9;0.878889;4.53e-16;*;*;*;
2729;J1914+0631;19:14:17.2;+06:31:56.3;0.693811;3.32e-17;*;*;*;
2730;J1914+0659;19:14:17.6;+07:01:11.0;0.018512;3.10e-20;*;*;*;
2731;J1914+0805;19:14:05.5;+08:05:12.7;0.455499;3.02e-17;*;*;*;
2732;J1914+0838;19:14:26.4;+08:38:45.1;0.440040;5.86e-16;*;*;*;
2733;J1914+1029g;19:14:23;+10:29;2.484990;*;*;*;*;
2734;J1914+1054g;19:14:07;+10:54;0.138870;*;*;*;*;
2735;J1914+1122;19:14:10.1;+11:22:03.7;0.600997;6.56e-16;*;*;*;
2736;J1914+1228g;19:14:55;+12:28;2.277550;*;*;*;*;
2737;J1914+1428;19:14:53.9;+14:28:46.2;1.159520;2.18e-15;*;*;*;
2738;J1915+0227;19:15:02.1;+02:27:47.7;0.317306;2.99e-16;*;*;*;
2739;J1915+0639;19:15:54.3;+06:39:46.2;0.644140;1.84e-15;*;*;*;
2740;J1915+0738;19:15:24.8;+07:38:31.4;1.542704;3.31e-15;*;*;*;
2741;J1915+0752;19:15:01.9;+07:52:09.2;2.058314;1.39e-16;*;*;*;
2742;J1915+0832g;19:15:06;+08:32;2.710090;*;*;*;*;
2743;J1915+0838;19:15:13.8;+08:38:59.7;0.342777;1.57e-15;*;*;*;
2744;J1915+1009;19:15:29.9;+10:09:43.3;0.404552;1.53e-14;*;*;1;
2745;J1915-11;19:15;-11:30;2.177000;*;*;RRAT;*;
2746;J1915+1145;19:15:33.1;+11:45:40.9;0.173647;1.53e-17;*;*;*;
2747;J1915+1150;19:15:16.6;+11:50:35.4;0.100041;1.37e-14;*;*;1;
2748;J1915+1410;19:15:35.4;+14:10:51.5;0.297494;4.89e-17;*;*;*;
2749;J1915+1606;19:15:27.9;+16:06:27.3;0.059030;8.62e-18;DDH;*;1;
2750;J1915+1647;19:15:19.1;+16:47:08.5;1.616231;4.05e-16;*;*;*;
2751;J1916+0741g;19:16:17;+07:41;0.011220;*;*;*;*;
2752;J1916+0748;19:16:51.5;+07:48:00;0.541752;1.07e-14;*;*;*;
2753;J1916+0748g;19:17:00;+07:48;0.867910;*;*;*;*;
2754;J1916+0844;19:16:19.0;+08:44:07.0;0.439995;2.90e-15;*;*;*;
2755;J1916+0852;19:16:24.6;+08:52:36;2.182746;1.31e-14;*;*;*;
2756;J1916+0951;19:16:32.3;+09:51:25.9;0.270254;2.52e-15;*;*;*;
2757;J1916+1023;19:16:36.9;+10:23:03;1.618339;6.81e-16;*;*;*;
2758;J1916+1030;19:16:11.7;+10:30:53.4;0.628970;3.40e-17;*;*;*;
2759;J1916+1030g;19:16:46;+10:30;0.349380;*;*;*;*;
2760;J1916+1225;19:16:20.0;+12:25:53.9;0.227387;2.35e-14;*;*;*;
2761;J1916+1312;19:16:58.6;+13:12:50.0;0.281845;3.66e-15;*;*;*;
2762;J1916-2939;19:16:32.7;-29:39:27.8;1.248617;1.24e-15;*;*;*;
2763;J1916+3224;19:16:03.4;+32:24:39.7;1.137450;3.47e-15;*;*;*;
2764;J1917+0743g;19:17:26;+07:43;0.813470;*;*;*;*;
2765;J1917+0834;19:17:48.8;+08:34:54.6;2.129665;1.75e-14;*;*;*;
2766;J1917+1046g;19:17:55;+10:46;0.087730;*;*;*;*;
2767;J1917+1121g;19:17:27;+11:21;0.510310;*;*;*;*;
2768;J1917+1259g;19:17:29;+12:59;0.005630;*;*;*;*;
2769;J1917+1353;19:17:39.7;+13:53:57.0;0.194631;7.20e-15;*;*;*;
2770;J1917+1411g;19:17:26;+14:11;0.446460;*;*;*;*;
2771;J1917+1737;19:17:23.9;+17:37:31.6;0.334725;3.24e-16;*;*;*;
2772;J1917+2224;19:17:44.2;+22:22:48.8;0.425897;2.86e-15;*;*;*;
2773;J1918-0642;19:18:48.0;-06:42:34.9;0.007646;2.57e-20;ELL1H;*;*;
2774;J1918-1052;19:18:48.2;-10:52:46.3;0.798693;8.65e-16;*;*;*;
2775;J1918+1311;19:18:46.2;+13:11:24.5;0.856749;2.26e-15;*;*;*;
2776;J1918+1340g;19:18:54;+13:40;0.232990;*;*;*;*;
2777;J1918+1444;19:18:23.6;+14:45:06.0;1.181023;2.12e-13;*;HE[zkgl09];*;
2778;J1918+1536g;19:18:23;+15:36;0.109950;*;*;*;*;
2779;J1918+1540g;19:18:19;+15:40;0.004280;*;*;*;*;
2780;J1918+1541;19:18:07.7;+15:41:15.2;0.370883;2.54e-15;*;*;*;
2781;J1918+1547g;19:18:34;+15:47;0.003760;*;*;*;*;
2782;J1919+0021;19:19:50.6;+00:21:39.7;1.272260;7.67e-15;*;*;1;
2783;J1919+0134;19:19:43.6;+01:34:56.5;1.603984;5.89e-16;*;*;*;
2784;J1919+1314;19:19:32.9;+13:14:37.3;0.571400;3.79e-15;*;*;*;
2785;J1919+1527g;19:19:50;+15:27;1.371460;*;*;*;*;
2786;J1919+1645;19:19:09.2;+16:45:22.7;0.562790;2.16e-16;*;*;*;
2787;J1919+1745;19:19:43.3;+17:45:03.7;2.081343;1.71e-15;*;RRAT;*;
2788;J1919+23;19:19:26;+23:52:46;0.004630;*;*;NRAD[aab+22];*;
2789;J1919+2621;19:19:41.0;+26:21:29.4;0.651512;5.46e-16;*;*;*;
2790;J1920-0950;19:20:55.9;-09:50:01.0;1.037824;3.93e-16;*;*;*;
2791;J1920+1040;19:20:55.3;+10:40:31;2.215802;6.48e-15;*;*;*;
2792;J1920+1110;19:20:13.3;+11:10:59;0.509886;1.56e-16;*;*;*;
2793;J1920+1515g;19:20:22;+15:15;1.602760;*;*;*;*;
2794;J1920+2650;19:20:38.3;+26:50:38.4;0.785522;3.44e-17;*;*;*;
2795;J1921+0137;19:21:30.3;+01:37:25.5;0.002496;1.94e-20;ELL1;HE;*;
2796;J1921-05;19:21:04;-05:23;2.227590;*;*;*;*;
2797;J1921-0510;19:21:29.4;-05:10:10.8;0.794254;6.02e-16;*;*;*;
2798;J1921+0812;19:21:47.7;+08:12:51.8;0.210648;5.36e-15;*;*;1;
2799;J1921+0921;19:21:53.4;+09:21:30.2;0.562302;9.58e-15;*;*;*;
2800;J1921+1259g;19:21:18;+12:59;0.573160;*;*;*;*;
2801;J1921+1340g;19:21:30;+13:40;4.602940;*;*;*;*;
2802;J1921+1419;19:21:24.1;+14:19:17.1;0.618183;5.60e-15;*;*;*;
2803;J1921+1505g;19:21:25;+15:05;0.611900;*;*;*;*;
2804;J1921+1544;19:21:46.4;+15:44:17.4;0.143576;9.80e-16;*;*;*;
2805;J1921+1630;19:21:00.1;+16:30:55.8;0.936448;2.23e-14;*;*;*;
2806;J1921+1929;19:21:23.3;+19:29:22.2;0.002646;3.82e-20;ELL1;HE;*;
2807;J1921+1948;19:21:03.7;+19:48:44.7;0.821035;8.96e-16;*;*;*;
2808;J1921+2003;19:21:51.5;+20:03:20.8;0.760681;5.00e-17;*;*;*;
2809;J1921+2153;19:21:44.8;+21:53:02.2;1.337302;1.35e-15;*;*;*;
2810;J1922+1131;19:22:50.2;+11:31:58.5;0.562074;2.57e-17;*;*;*;
2811;J1922+1733;19:22:53.2;+17:33:23.4;0.236171;1.34e-14;*;*;*;
2812;J1922+2018;19:22:08.0;+20:17:57.3;1.172763;6.49e-16;*;*;*;
2813;J1922+2110;19:22:53.5;+21:10:41.9;1.077924;8.18e-15;*;*;*;
2814;J1922+58;19:22;+58:28;0.529623;*;*;*;*;
2815;J1923-0408;19:23:10.9;-04:08:19.4;1.149269;6.80e-17;*;*;*;
2816;J1923+1143g;19:23:38;+11:43;0.371210;*;*;*;*;
2817;J1923+1521g;19:23:12;+15:21;1.048760;*;*;*;*;
2818;J1923+1706;19:23:07.8;+17:06:09.4;0.547209;4.30e-17;*;*;*;
2819;J1923+2022g;19:23:56;+20:22;0.037990;*;*;*;*;
2820;J1923+2515;19:23:22.4;+25:15:40.5;0.003788;9.56e-21;*;*;*;
2821;J1923+4243;19:23:15.2;+42:43:18.6;0.595193;2.53e-15;*;*;*;
2822;J1924+1343g;19:24:20;+13:43;0.005720;*;*;*;*;
2823;J1924+1509g;19:24:34;+15:09;0.239950;*;*;*;*;
2824;J1924+1510g;19:24:02;+15:10;0.498630;*;*;*;*;
2825;J1924+1628;19:24:44.0;+16:28:37.6;0.375082;3.21e-16;*;*;*;
2826;J1924+1631;19:24:54.8;+16:31:48.8;2.935186;3.64e-13;*;*;*;
2827;J1924+1639;19:24:03.1;+16:39:40.7;0.158043;2.56e-15;*;*;*;
2828;J1924+1713;19:24:32.5;+17:13:33.0;0.758433;1.13e-16;*;*;*;
2829;J1924+1917;19:24:26.2;+19:17:24.4;1.277942;1.99e-16;*;*;*;
2830;J1924+1923g;19:24:20;+19:23;0.689240;*;*;*;*;
2831;J1924+1932g;19:24:49;+19:32;0.388860;*;*;*;*;
2832;J1924+2027g;19:24:34;+20:27;0.001950;*;*;*;*;
2833;J1924+2037g;19:24:34;+20:37;0.684800;*;*;*;*;
2834;J1924+2040;19:24:40;+20:40:03;0.237790;2.09e-15;*;*;*;
2835;J1925+1532g;19:25:00;+15:32;1.655100;*;*;*;*;
2836;J1925-16;19:25:06;-16:01:00;3.885800;*;*;RRAT;*;
2837;J1925+1629g;19:25:10;+16:29;0.004110;*;*;*;*;
2838;J1925+1636g;19:25:48;+16:36;0.049710;*;*;*;*;
2839;J1925+1720;19:25:27.0;+17:20:27.3;0.075659;1.05e-14;*;HE[lbh+15,sbc+19];*;
2840;J1925+19;19:25:26;+19:04;1.916353;*;*;*;*;
2841;J1926+0431;19:26:24.4;+04:31:31.5;1.074080;2.46e-15;*;*;1;
2842;J1926-0652;19:26:37.0;-06:52:42.7;1.608816;3.91e-16;*;*;*;
2843;J1926+0737;19:26:33.7;+07:37:07.2;0.318062;3.75e-16;*;*;*;
2844;J1926-1314;19:26:53.8;-13:14:03.8;4.864284;3.64e-14;*;*;*;
2845;J1926+1434;19:26:57.2;+14:34:55.3;1.324922;2.19e-16;*;*;*;
2846;J1926+1452g;19:26:55;+14:52;0.304510;*;*;*;*;
2847;J1926+1614;19:26:50.2;+16:14:18.7;0.308306;3.35e-17;*;*;*;
2848;J1926+1631g;19:26:24;+16:31;0.678390;*;*;*;*;
