#;PSRJ;RAJ;DECJ;P0;P1;BINARY;PSR;NGLT;
;;(hms);(dms);(s);;(type);TYPE;;
288;J0614-3329;06:14:10.3;-33:29:54.1;0.003149;1.75e-20;BT;HE;*;
289;J0614+83;06:14;+83:14;1.039203;*;*;*;*;
290;J0621+0336;06:21:11.2;+03:36:45.5;0.269954;7.24e-18;*;*;*;
291;J0621+1002;06:21:22.1;+10:02:38.7;0.028854;4.73e-20;DD;*;*;
292;J0621+2514;06:21:10.8;+25:14:03.8;0.002722;2.48e-20;ELL1;HE;*;
293;J0621-55;06:20:42;-56:05;*;*;*;RRAT;*;
294;J0622+3749;06:22:10.5;+37:49:13.6;0.333208;2.54e-14;*;NRAD;*;
295;J0623+0340;06:23:46.7;+03:40:06.8;0.613760;8.84e-17;*;*;*;
296;J0624-0424;06:24:20.0;-04:24:50.4;1.039076;8.30e-16;*;*;*;
297;J0625+10;06:25:45;+10:16;0.498397;*;*;*;2;
298;J0627+0649;06:27:53.6;+06:49:54.1;0.346523;1.70e-15;*;*;*;
299;J0627+0706;06:27:44.1;+07:06:33.0;0.475885;2.98e-14;*;*;*;
300;J0627+16;06:27:13;+16:12;2.180000;*;*;RRAT;*;
301;J0628+0909;06:28:36.1;+09:09:13.9;1.241421;5.48e-16;*;RRAT;*;
302;J0629+2415;06:29:05.7;+24:15:41.5;0.476623;2.00e-15;*;*;*;
303;J0630-0046;06:30:26.9;-00:46:05.8;0.680575;3.75e-15;*;*;*;
304;J0630+19;06:30:04;+19:37;1.248550;*;*;*;*;
305;J0630-2834;06:30:49.4;-28:34:42.7;1.244419;7.12e-15;*;HE[to05];*;
306;J0631+0646;06:31:52.3;+06:46:14.2;0.110979;3.62e-15;*;HE[wcp+18];*;
307;J0631+1036;06:31:27.5;+10:37:02.5;0.287800;1.05e-13;*;HE[tsn+01,waa+10];17;
308;J0633+0632;06:33:44.2;+06:32:34.9;0.297395;7.96e-14;*;NRAD;*;
309;J0633+1746;06:33:54.1;+17:46:12.9;0.237099;1.10e-14;*;HE;1;
310;J0633-2015;06:33:08.8;-20:15:07.1;3.253211;3.82e-15;*;*;*;
311;J0635+0533;06:35:18;+05:33:11;0.033856;*;*;NRAD;*;
312;J0636-23;06:36;-23;0.476000;*;*;*;*;
313;J0636-3044;06:37:09;-30:50:42;0.003946;*;*;*;*;
314;J0636-4549;06:36:33.7;-45:49:32.6;1.984597;3.17e-15;*;*;*;
315;J0636+5128;06:36:04.8;+51:28:59.9;0.002869;3.45e-21;ELL1;HE[sbc+19];*;
316;J0641+07;06:41:10;+07:44;*;*;*;RRAT[ttm18];*;
317;J0645+5158;06:45:59.0;+51:58:14.9;0.008853;4.92e-21;*;*;*;
318;J0645+80;06:46;+80:09;0.657873;*;*;*;*;
319;J0646+0905;06:46:31.0;+09:05:49.6;0.903913;7.36e-16;*;*;*;
320;J0646-54;06:46:22.4;-54:52:57;0.002510;*;*;HE[aab+22];*;
